Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ
Date,,,,,,,,,,
2020-12-01,18802.998046875,294.33209228515625,19845.974609375,295.9615813628367,18321.921875,291.781196411975,19633.76953125,292.8869200861286,49633658712,27521300.0
2020-12-02,19201.091796875,294.7104187011719,19308.330078125,295.04989687541257,18347.71875,291.31569615802766,18801.744140625,293.1585396186654,37387697139,23620000.0
2020-12-03,19445.3984375,295.1273193359375,19566.19140625,296.67919758671337,18925.78515625,294.3998791808503,19205.92578125,295.0206423210069,31930317405,22828700.0
2020-12-04,18699.765625,296.33001708984375,19511.404296875,296.4755288035832,18697.193359375,294.4968832526596,19446.966796875,295.175809651773,33872388058,19332100.0
2020-12-05,19154.23046875,,19160.44921875,,18590.193359375,,18698.384765625,,27242455064,
2020-12-06,19345.12109375,,19390.5,,18897.89453125,,19154.1796875,,25293775714,
2020-12-07,19191.630859375,298.008056640625,19411.828125,298.37663114555875,18931.142578125,296.3300836153928,19343.12890625,296.5143708678597,26896357742,20851000.0
2020-12-08,18321.14453125,299.01678466796875,19283.478515625,299.31745764035315,18269.9453125,295.7772539077193,19191.529296875,297.53280755923737,31692288756,18341500.0
2020-12-09,18553.916015625,292.2466735839844,18626.29296875,299.0845996335578,17935.546875,291.1797553692577,18320.884765625,298.8033440675616,34420373071,48839300.0
2020-12-10,18264.9921875,293.4202575683594,18553.298828125,294.5453685880513,17957.064453125,289.12351804978516,18553.298828125,290.2098239723522,25547132265,27519500.0
2020-12-11,18058.904296875,292.7703857421875,18268.453125,292.8964800901079,17619.533203125,289.49205109470654,18263.9296875,291.7616605584367,27919640985,26760400.0
2020-12-12,18803.65625,,18919.55078125,,18046.041015625,,18051.3203125,,21752580802,
2020-12-13,19142.3828125,,19381.53515625,,18734.33203125,,18806.765625,,25450468637,
2020-12-14,19246.64453125,294.8946228027344,19305.099609375,296.8441427854196,19012.708984375,293.8956059201811,19144.4921875,293.96347785617394,22473997681,28804800.0
